CellID,Time(s),x(microns),y(microns)
106,2.845e+00,3.827e+02,4.032e+02
106,5.690e+00,3.827e+02,4.032e+02
106,8.535e+00,3.826e+02,4.033e+02
106,1.138e+01,3.828e+02,4.033e+02
106,1.423e+01,3.827e+02,4.034e+02
106,1.707e+01,3.828e+02,4.034e+02
106,1.992e+01,3.827e+02,4.034e+02
106,2.276e+01,3.828e+02,4.035e+02
106,2.561e+01,3.830e+02,4.038e+02
106,2.845e+01,3.840e+02,4.050e+02
106,3.130e+01,3.833e+02,4.041e+02
106,3.414e+01,3.840e+02,4.049e+02
106,3.698e+01,3.834e+02,4.046e+02
106,3.983e+01,3.833e+02,4.042e+02
106,4.268e+01,3.838e+02,4.049e+02
106,4.552e+01,3.840e+02,4.049e+02
106,4.837e+01,3.845e+02,4.056e+02
106,5.121e+01,3.845e+02,4.056e+02
106,5.406e+01,3.843e+02,4.053e+02
106,5.690e+01,3.844e+02,4.055e+02
106,5.975e+01,3.845e+02,4.057e+02
106,6.259e+01,3.846e+02,4.056e+02
106,6.544e+01,3.848e+02,4.059e+02
106,6.828e+01,3.850e+02,4.062e+02
106,7.112e+01,3.870e+02,4.084e+02
106,7.397e+01,3.851e+02,4.065e+02
106,7.682e+01,3.854e+02,4.068e+02
106,7.966e+01,3.852e+02,4.066e+02
106,8.251e+01,3.860e+02,4.075e+02
106,8.535e+01,3.865e+02,4.081e+02
106,8.820e+01,3.867e+02,4.081e+02
106,9.104e+01,3.877e+02,4.094e+02
106,9.389e+01,3.878e+02,4.095e+02
106,9.673e+01,3.883e+02,4.100e+02
106,9.958e+01,3.885e+02,4.101e+02
106,1.024e+02,3.892e+02,4.108e+02
106,1.053e+02,3.891e+02,4.110e+02
106,1.081e+02,3.894e+02,4.111e+02
106,1.110e+02,3.895e+02,4.115e+02
106,1.138e+02,3.897e+02,4.115e+02
106,1.166e+02,3.896e+02,4.114e+02
106,1.195e+02,3.898e+02,4.116e+02
106,1.223e+02,3.900e+02,4.118e+02
106,1.252e+02,3.901e+02,4.118e+02
106,1.280e+02,3.906e+02,4.121e+02
106,1.309e+02,3.908e+02,4.123e+02
106,1.337e+02,3.914e+02,4.127e+02
106,1.366e+02,3.919e+02,4.130e+02
106,1.394e+02,3.925e+02,4.132e+02
106,1.422e+02,3.928e+02,4.133e+02
106,1.451e+02,3.931e+02,4.133e+02
106,1.479e+02,3.935e+02,4.139e+02
106,1.508e+02,3.936e+02,4.143e+02
106,1.536e+02,3.940e+02,4.150e+02
106,1.565e+02,3.942e+02,4.151e+02
106,1.593e+02,3.943e+02,4.152e+02
106,1.622e+02,3.948e+02,4.165e+02
106,1.650e+02,3.964e+02,4.191e+02
106,1.679e+02,3.967e+02,4.197e+02
106,1.707e+02,3.969e+02,4.199e+02
106,1.735e+02,3.971e+02,4.197e+02
106,1.764e+02,3.969e+02,4.188e+02
106,1.792e+02,3.969e+02,4.191e+02
106,1.821e+02,3.973e+02,4.192e+02
106,1.849e+02,3.974e+02,4.186e+02
106,1.878e+02,3.976e+02,4.174e+02
106,1.906e+02,3.978e+02,4.177e+02
106,1.935e+02,3.969e+02,4.177e+02
106,1.963e+02,3.965e+02,4.175e+02
106,1.992e+02,3.966e+02,4.172e+02
106,2.020e+02,3.968e+02,4.166e+02
106,2.048e+02,3.973e+02,4.168e+02
106,2.077e+02,3.984e+02,4.171e+02
106,2.105e+02,3.994e+02,4.170e+02
106,2.134e+02,3.996e+02,4.165e+02
106,2.162e+02,3.978e+02,4.168e+02
106,2.191e+02,3.974e+02,4.163e+02
106,2.219e+02,3.974e+02,4.170e+02
106,2.248e+02,3.980e+02,4.180e+02
106,2.276e+02,3.982e+02,4.188e+02
106,2.304e+02,3.988e+02,4.191e+02
106,2.333e+02,3.997e+02,4.188e+02
106,2.361e+02,4.005e+02,4.186e+02
106,2.390e+02,4.011e+02,4.185e+02
106,2.418e+02,4.020e+02,4.186e+02
106,2.447e+02,4.030e+02,4.183e+02
106,2.475e+02,4.035e+02,4.186e+02
106,2.504e+02,4.034e+02,4.184e+02
106,2.532e+02,4.036e+02,4.179e+02
106,2.561e+02,4.030e+02,4.179e+02
106,2.589e+02,4.015e+02,4.190e+02
106,2.617e+02,4.019e+02,4.208e+02
106,2.646e+02,4.016e+02,4.203e+02
106,2.674e+02,4.017e+02,4.208e+02
106,2.788e+02,4.031e+02,4.231e+02
106,2.817e+02,4.032e+02,4.229e+02
106,2.845e+02,4.040e+02,4.237e+02
147,2.845e+00,7.423e+02,1.334e+02
147,5.690e+00,7.425e+02,1.332e+02
147,8.535e+00,7.424e+02,1.331e+02
147,1.138e+01,7.428e+02,1.328e+02
147,1.423e+01,7.427e+02,1.326e+02
147,1.707e+01,7.425e+02,1.328e+02
147,1.992e+01,7.426e+02,1.328e+02
147,2.276e+01,7.423e+02,1.328e+02
147,2.561e+01,7.423e+02,1.324e+02
147,2.845e+01,7.428e+02,1.322e+02
147,3.130e+01,7.428e+02,1.316e+02
147,3.414e+01,7.427e+02,1.314e+02
147,3.698e+01,7.433e+02,1.306e+02
147,3.983e+01,7.430e+02,1.311e+02
147,4.268e+01,7.431e+02,1.310e+02
147,4.552e+01,7.431e+02,1.316e+02
147,4.837e+01,7.432e+02,1.317e+02
147,5.121e+01,7.429e+02,1.317e+02
147,5.406e+01,7.437e+02,1.318e+02
147,5.690e+01,7.440e+02,1.320e+02
147,5.975e+01,7.448e+02,1.317e+02
147,6.259e+01,7.452e+02,1.317e+02
147,6.544e+01,7.454e+02,1.319e+02
147,6.828e+01,7.459e+02,1.319e+02
147,7.112e+01,7.464e+02,1.322e+02
147,7.397e+01,7.466e+02,1.319e+02
147,7.682e+01,7.470e+02,1.320e+02
147,7.966e+01,7.474e+02,1.319e+02
147,8.251e+01,7.476e+02,1.319e+02
147,8.535e+01,7.483e+02,1.319e+02
147,8.820e+01,7.488e+02,1.320e+02
147,9.104e+01,7.489e+02,1.320e+02
147,9.389e+01,7.494e+02,1.322e+02
147,9.673e+01,7.500e+02,1.324e+02
147,9.958e+01,7.503e+02,1.327e+02
147,1.024e+02,7.504e+02,1.326e+02
147,1.053e+02,7.506e+02,1.328e+02
147,1.081e+02,7.511e+02,1.328e+02
147,1.110e+02,7.512e+02,1.329e+02
147,1.138e+02,7.514e+02,1.329e+02
147,1.166e+02,7.515e+02,1.329e+02
147,1.195e+02,7.517e+02,1.332e+02
147,1.223e+02,7.519e+02,1.332e+02
147,1.252e+02,7.520e+02,1.331e+02
147,1.280e+02,7.520e+02,1.333e+02
147,1.309e+02,7.520e+02,1.333e+02
147,1.337e+02,7.518e+02,1.336e+02
147,1.366e+02,7.517e+02,1.338e+02
147,1.394e+02,7.518e+02,1.340e+02
147,1.422e+02,7.517e+02,1.342e+02
147,1.451e+02,7.518e+02,1.344e+02
147,1.479e+02,7.520e+02,1.349e+02
147,1.508e+02,7.525e+02,1.358e+02
147,1.536e+02,7.526e+02,1.360e+02
147,1.565e+02,7.529e+02,1.366e+02
147,1.593e+02,7.535e+02,1.372e+02
147,1.622e+02,7.536e+02,1.375e+02
147,1.650e+02,7.539e+02,1.379e+02
147,1.679e+02,7.542e+02,1.383e+02
147,1.707e+02,7.546e+02,1.388e+02
147,1.735e+02,7.550e+02,1.396e+02
147,1.764e+02,7.554e+02,1.403e+02
147,1.792e+02,7.556e+02,1.407e+02
147,1.821e+02,7.559e+02,1.413e+02
147,1.849e+02,7.559e+02,1.418e+02
147,1.878e+02,7.560e+02,1.421e+02
147,1.906e+02,7.560e+02,1.427e+02
147,1.935e+02,7.560e+02,1.432e+02
147,1.963e+02,7.562e+02,1.436e+02
147,1.992e+02,7.567e+02,1.437e+02
147,2.020e+02,7.569e+02,1.442e+02
147,2.048e+02,7.571e+02,1.444e+02
147,2.077e+02,7.575e+02,1.446e+02
147,2.105e+02,7.576e+02,1.451e+02
147,2.134e+02,7.581e+02,1.457e+02
147,2.162e+02,7.587e+02,1.469e+02
147,2.191e+02,7.589e+02,1.477e+02
147,2.219e+02,7.595e+02,1.483e+02
147,2.248e+02,7.602e+02,1.493e+02
147,2.276e+02,7.608e+02,1.499e+02
147,2.304e+02,7.611e+02,1.505e+02
147,2.333e+02,7.612e+02,1.512e+02
147,2.361e+02,7.609e+02,1.514e+02
147,2.390e+02,7.610e+02,1.519e+02
147,2.418e+02,7.612e+02,1.526e+02
147,2.447e+02,7.614e+02,1.534e+02
147,2.475e+02,7.616e+02,1.538e+02
147,2.504e+02,7.619e+02,1.541e+02
147,2.532e+02,7.622e+02,1.545e+02
147,2.561e+02,7.626e+02,1.550e+02
