CellID,Time(s),x(microns),y(microns)
82,2.845e+00,2.460e+02,1.605e+02
82,5.690e+00,2.456e+02,1.602e+02
82,8.535e+00,2.454e+02,1.599e+02
82,1.138e+01,2.454e+02,1.597e+02
82,1.423e+01,2.451e+02,1.597e+02
82,1.707e+01,2.450e+02,1.598e+02
82,1.992e+01,2.450e+02,1.596e+02
82,2.276e+01,2.450e+02,1.595e+02
82,2.561e+01,2.450e+02,1.596e+02
82,2.845e+01,2.449e+02,1.596e+02
82,3.130e+01,2.449e+02,1.593e+02
82,3.414e+01,2.447e+02,1.592e+02
82,3.698e+01,2.445e+02,1.589e+02
82,3.983e+01,2.445e+02,1.587e+02
82,4.268e+01,2.444e+02,1.586e+02
82,4.552e+01,2.442e+02,1.585e+02
82,4.837e+01,2.445e+02,1.588e+02
82,5.121e+01,2.446e+02,1.587e+02
82,5.406e+01,2.446e+02,1.587e+02
82,5.690e+01,2.446e+02,1.589e+02
82,5.975e+01,2.448e+02,1.587e+02
82,6.259e+01,2.446e+02,1.585e+02
82,6.544e+01,2.448e+02,1.589e+02
82,6.828e+01,2.449e+02,1.587e+02
82,7.112e+01,2.449e+02,1.588e+02
82,7.397e+01,2.449e+02,1.588e+02
82,7.682e+01,2.451e+02,1.588e+02
82,7.966e+01,2.449e+02,1.591e+02
82,8.251e+01,2.452e+02,1.588e+02
82,8.535e+01,2.450e+02,1.584e+02
82,8.820e+01,2.446e+02,1.584e+02
82,9.104e+01,2.444e+02,1.582e+02
82,9.389e+01,2.446e+02,1.581e+02
82,9.673e+01,2.443e+02,1.582e+02
82,9.958e+01,2.444e+02,1.584e+02
82,1.024e+02,2.434e+02,1.587e+02
82,1.053e+02,2.439e+02,1.603e+02
82,1.081e+02,2.436e+02,1.603e+02
82,1.110e+02,2.433e+02,1.603e+02
82,1.138e+02,2.426e+02,1.604e+02
82,1.166e+02,2.422e+02,1.584e+02
82,1.195e+02,2.404e+02,1.576e+02
82,1.223e+02,2.398e+02,1.571e+02
82,1.252e+02,2.392e+02,1.568e+02
82,1.280e+02,2.377e+02,1.557e+02
82,1.309e+02,2.376e+02,1.559e+02
82,1.337e+02,2.375e+02,1.558e+02
82,1.366e+02,2.375e+02,1.559e+02
82,1.394e+02,2.377e+02,1.570e+02
82,1.422e+02,2.378e+02,1.578e+02
82,1.451e+02,2.378e+02,1.584e+02
82,1.479e+02,2.380e+02,1.591e+02
82,1.508e+02,2.377e+02,1.578e+02
82,1.536e+02,2.369e+02,1.568e+02
82,1.565e+02,2.375e+02,1.567e+02
82,1.593e+02,2.379e+02,1.565e+02
82,1.622e+02,2.381e+02,1.568e+02
82,1.650e+02,2.380e+02,1.574e+02
82,1.679e+02,2.370e+02,1.577e+02
82,1.707e+02,2.373e+02,1.574e+02
82,1.735e+02,2.370e+02,1.573e+02
82,1.764e+02,2.373e+02,1.562e+02
82,1.792e+02,2.372e+02,1.557e+02
82,1.821e+02,2.371e+02,1.561e+02
82,1.849e+02,2.369e+02,1.563e+02
82,1.878e+02,2.361e+02,1.561e+02
82,1.906e+02,2.357e+02,1.557e+02
82,1.935e+02,2.352e+02,1.553e+02
82,1.963e+02,2.345e+02,1.553e+02
82,1.992e+02,2.328e+02,1.548e+02
82,2.020e+02,2.291e+02,1.525e+02
82,2.048e+02,2.246e+02,1.553e+02
97,2.845e+00,3.177e+02,2.067e+02
97,5.690e+00,3.179e+02,2.069e+02
97,8.535e+00,3.180e+02,2.065e+02
97,1.138e+01,3.177e+02,2.063e+02
97,1.423e+01,3.176e+02,2.061e+02
97,1.707e+01,3.172e+02,2.060e+02
97,1.992e+01,3.173e+02,2.055e+02
97,2.276e+01,3.166e+02,2.052e+02
97,2.561e+01,3.172e+02,2.071e+02
97,2.845e+01,3.174e+02,2.066e+02
97,3.130e+01,3.178e+02,2.058e+02
97,3.414e+01,3.181e+02,2.055e+02
97,3.698e+01,3.180e+02,2.058e+02
97,3.983e+01,3.177e+02,2.059e+02
97,4.268e+01,3.173e+02,2.064e+02
97,4.552e+01,3.170e+02,2.065e+02
97,4.837e+01,3.175e+02,2.068e+02
97,5.121e+01,3.175e+02,2.061e+02
97,5.406e+01,3.173e+02,2.061e+02
97,5.690e+01,3.175e+02,2.068e+02
97,5.975e+01,3.175e+02,2.065e+02
97,6.259e+01,3.176e+02,2.060e+02
97,6.544e+01,3.176e+02,2.062e+02
97,6.828e+01,3.175e+02,2.067e+02
97,7.112e+01,3.172e+02,2.067e+02
97,7.397e+01,3.174e+02,2.066e+02
97,7.682e+01,3.174e+02,2.070e+02
97,7.966e+01,3.176e+02,2.067e+02
97,8.251e+01,3.180e+02,2.063e+02
97,8.535e+01,3.173e+02,2.061e+02
97,8.820e+01,3.164e+02,2.062e+02
97,9.104e+01,3.159e+02,2.061e+02
97,9.389e+01,3.153e+02,2.059e+02
97,9.673e+01,3.154e+02,2.061e+02
97,9.958e+01,3.155e+02,2.058e+02
97,1.024e+02,3.151e+02,2.055e+02
97,1.053e+02,3.147e+02,2.053e+02
97,1.081e+02,3.145e+02,2.051e+02
97,1.110e+02,3.143e+02,2.046e+02
97,1.138e+02,3.145e+02,2.045e+02
97,1.166e+02,3.139e+02,2.041e+02
97,1.195e+02,3.134e+02,2.039e+02
97,1.223e+02,3.139e+02,2.046e+02
97,1.252e+02,3.142e+02,2.052e+02
