CellID,Time(s),x(microns),y(microns)
972,7.966e+01,1.237e+03,5.436e+02
972,8.535e+01,1.238e+03,5.441e+02
972,8.820e+01,1.238e+03,5.447e+02
972,9.104e+01,1.238e+03,5.450e+02
972,9.389e+01,1.239e+03,5.457e+02
972,9.673e+01,1.239e+03,5.458e+02
972,9.958e+01,1.240e+03,5.461e+02
972,1.024e+02,1.240e+03,5.467e+02
972,1.053e+02,1.241e+03,5.474e+02
972,1.081e+02,1.241e+03,5.481e+02
972,1.110e+02,1.242e+03,5.487e+02
972,1.138e+02,1.243e+03,5.494e+02
972,1.166e+02,1.243e+03,5.496e+02
972,1.195e+02,1.243e+03,5.500e+02
972,1.223e+02,1.243e+03,5.510e+02
972,1.252e+02,1.243e+03,5.501e+02
972,1.280e+02,1.243e+03,5.504e+02
972,1.309e+02,1.243e+03,5.505e+02
972,1.337e+02,1.243e+03,5.503e+02
972,1.366e+02,1.244e+03,5.499e+02
972,1.394e+02,1.244e+03,5.500e+02
972,1.422e+02,1.244e+03,5.501e+02
972,1.451e+02,1.244e+03,5.504e+02
972,1.479e+02,1.244e+03,5.499e+02
972,1.508e+02,1.245e+03,5.497e+02
972,1.536e+02,1.246e+03,5.496e+02
972,1.565e+02,1.247e+03,5.493e+02
972,1.593e+02,1.247e+03,5.492e+02
972,1.622e+02,1.248e+03,5.493e+02
972,1.650e+02,1.249e+03,5.497e+02
972,1.679e+02,1.250e+03,5.496e+02
972,1.707e+02,1.250e+03,5.499e+02
972,1.735e+02,1.251e+03,5.503e+02
972,1.764e+02,1.252e+03,5.500e+02
972,1.792e+02,1.252e+03,5.500e+02
972,1.821e+02,1.253e+03,5.511e+02
972,1.849e+02,1.252e+03,5.512e+02
972,1.878e+02,1.253e+03,5.512e+02
972,1.906e+02,1.254e+03,5.514e+02
972,1.935e+02,1.254e+03,5.518e+02
972,1.963e+02,1.254e+03,5.514e+02
972,1.992e+02,1.255e+03,5.515e+02
972,2.020e+02,1.255e+03,5.511e+02
972,2.048e+02,1.255e+03,5.511e+02
972,2.077e+02,1.255e+03,5.513e+02
972,2.105e+02,1.256e+03,5.519e+02
972,2.134e+02,1.257e+03,5.523e+02
972,2.162e+02,1.257e+03,5.522e+02
972,2.191e+02,1.257e+03,5.527e+02
972,2.219e+02,1.256e+03,5.526e+02
972,2.248e+02,1.257e+03,5.527e+02
972,2.276e+02,1.257e+03,5.530e+02
972,2.304e+02,1.257e+03,5.528e+02
972,2.333e+02,1.258e+03,5.527e+02
972,2.361e+02,1.258e+03,5.529e+02
972,2.390e+02,1.258e+03,5.530e+02
972,2.418e+02,1.258e+03,5.527e+02
972,2.447e+02,1.257e+03,5.531e+02
972,2.475e+02,1.257e+03,5.529e+02
972,2.504e+02,1.257e+03,5.530e+02
972,2.532e+02,1.258e+03,5.523e+02
972,2.561e+02,1.258e+03,5.525e+02
972,2.589e+02,1.259e+03,5.520e+02
972,2.617e+02,1.260e+03,5.516e+02
972,2.646e+02,1.262e+03,5.509e+02
972,2.674e+02,1.263e+03,5.509e+02
1006,2.845e+00,7.083e+02,5.402e+02
1006,5.690e+00,7.076e+02,5.408e+02
1006,8.535e+00,7.071e+02,5.411e+02
1006,1.138e+01,7.064e+02,5.419e+02
1006,1.423e+01,7.049e+02,5.431e+02
1006,1.707e+01,7.040e+02,5.438e+02
1006,1.992e+01,7.039e+02,5.437e+02
1006,2.276e+01,7.033e+02,5.445e+02
1006,2.561e+01,7.032e+02,5.443e+02
1006,2.845e+01,7.030e+02,5.443e+02
1006,3.130e+01,7.023e+02,5.447e+02
1006,3.414e+01,7.025e+02,5.445e+02
1006,3.698e+01,7.021e+02,5.434e+02
1006,3.983e+01,7.014e+02,5.430e+02
1006,4.268e+01,7.015e+02,5.438e+02
1006,4.552e+01,7.013e+02,5.440e+02
1006,4.837e+01,7.012e+02,5.443e+02
1006,5.121e+01,7.012e+02,5.456e+02
1006,5.406e+01,7.013e+02,5.465e+02
1006,5.690e+01,7.014e+02,5.453e+02
1006,8.251e+01,7.007e+02,5.457e+02
1006,8.535e+01,7.023e+02,5.508e+02
1006,8.820e+01,7.014e+02,5.509e+02
1006,9.104e+01,7.018e+02,5.502e+02
1006,9.389e+01,7.022e+02,5.508e+02
1006,9.673e+01,7.027e+02,5.510e+02
1006,9.958e+01,7.017e+02,5.514e+02
1006,1.024e+02,7.022e+02,5.524e+02
1006,1.053e+02,7.028e+02,5.526e+02
1006,1.081e+02,7.029e+02,5.526e+02
1006,1.110e+02,7.032e+02,5.531e+02
1006,1.138e+02,7.041e+02,5.549e+02
1006,1.166e+02,7.043e+02,5.553e+02
1006,1.195e+02,7.050e+02,5.557e+02
1006,1.223e+02,7.049e+02,5.560e+02
1006,1.252e+02,7.053e+02,5.563e+02
1006,1.280e+02,7.054e+02,5.567e+02
1006,1.309e+02,7.066e+02,5.579e+02
1006,1.337e+02,7.069e+02,5.595e+02
1006,1.366e+02,7.065e+02,5.586e+02
1006,1.394e+02,7.069e+02,5.607e+02
1006,1.422e+02,7.070e+02,5.614e+02
1006,1.451e+02,7.067e+02,5.615e+02
1006,1.479e+02,7.064e+02,5.622e+02
1006,1.508e+02,7.062e+02,5.622e+02
1006,1.536e+02,7.060e+02,5.634e+02
1006,1.565e+02,7.064e+02,5.651e+02
1006,1.593e+02,7.064e+02,5.646e+02
1006,1.622e+02,7.061e+02,5.651e+02
1006,1.650e+02,7.066e+02,5.666e+02
1006,1.679e+02,7.061e+02,5.665e+02
1006,1.707e+02,7.059e+02,5.668e+02
1006,1.735e+02,7.059e+02,5.673e+02
1006,1.764e+02,7.064e+02,5.676e+02
1006,1.792e+02,7.064e+02,5.674e+02
1006,1.821e+02,7.060e+02,5.677e+02
1006,1.849e+02,7.071e+02,5.692e+02
1006,1.878e+02,7.070e+02,5.685e+02
1006,1.906e+02,7.073e+02,5.688e+02
1006,1.935e+02,7.076e+02,5.693e+02
1006,1.963e+02,7.076e+02,5.699e+02
1006,1.992e+02,7.074e+02,5.705e+02
1006,2.020e+02,7.076e+02,5.708e+02
1006,2.048e+02,7.075e+02,5.714e+02
1006,2.077e+02,7.077e+02,5.720e+02
1006,2.105e+02,7.076e+02,5.722e+02
1006,2.134e+02,7.076e+02,5.732e+02
1006,2.162e+02,7.076e+02,5.746e+02
1006,2.191e+02,7.072e+02,5.744e+02
1006,2.219e+02,7.072e+02,5.749e+02
1006,2.248e+02,7.065e+02,5.751e+02
1006,2.276e+02,7.061e+02,5.764e+02
1006,2.304e+02,7.057e+02,5.778e+02
1006,2.333e+02,7.054e+02,5.801e+02
1006,2.361e+02,7.041e+02,5.816e+02
1006,2.390e+02,7.054e+02,5.811e+02
1006,2.418e+02,7.046e+02,5.825e+02
1006,2.447e+02,7.050e+02,5.818e+02
1006,2.475e+02,7.055e+02,5.826e+02
1006,2.504e+02,7.047e+02,5.823e+02
1006,2.532e+02,7.042e+02,5.829e+02
1006,2.561e+02,7.046e+02,5.838e+02
1006,2.589e+02,7.044e+02,5.851e+02
1006,2.617e+02,7.054e+02,5.862e+02
1006,2.646e+02,7.053e+02,5.861e+02
1006,2.674e+02,7.049e+02,5.864e+02
1006,2.703e+02,7.049e+02,5.880e+02
1006,2.731e+02,7.050e+02,5.883e+02
1006,2.760e+02,7.047e+02,5.897e+02
1006,2.788e+02,7.047e+02,5.900e+02
1006,2.817e+02,7.043e+02,5.915e+02
1006,2.845e+02,7.047e+02,5.929e+02
1006,2.873e+02,7.049e+02,5.933e+02
1006,2.902e+02,7.043e+02,5.934e+02
1006,2.930e+02,7.045e+02,5.944e+02
1006,2.959e+02,7.043e+02,5.942e+02
1006,2.987e+02,7.041e+02,5.948e+02
1006,3.016e+02,7.044e+02,5.945e+02
1006,3.044e+02,7.039e+02,5.957e+02
1006,3.073e+02,7.039e+02,5.964e+02
1006,3.101e+02,7.043e+02,5.954e+02
1006,3.130e+02,7.046e+02,5.959e+02
1027,2.845e+00,1.226e+03,9.497e+02
1027,5.690e+00,1.228e+03,9.486e+02
1027,8.535e+00,1.228e+03,9.508e+02
1027,1.138e+01,1.228e+03,9.510e+02
1027,1.423e+01,1.228e+03,9.510e+02
1027,1.707e+01,1.228e+03,9.513e+02
1027,1.992e+01,1.228e+03,9.517e+02
1027,2.276e+01,1.228e+03,9.519e+02
1027,2.561e+01,1.228e+03,9.520e+02
1027,2.845e+01,1.228e+03,9.526e+02
1027,3.130e+01,1.228e+03,9.531e+02
1027,3.414e+01,1.228e+03,9.535e+02
1027,3.698e+01,1.229e+03,9.561e+02
